77000000000+0i,-5.908848563864028e-05-7.894338307670792e-08i,-0.001681515505021754-5.398457936862455e-06i
78000000000+0i,-5.985586856901222e-05-7.996862181796386e-08i,-0.001703353368723335-5.468567780198329e-06i
79000000000+0i,-6.062325149938418e-05-8.099386055921979e-08i,-0.001725191232424917-5.538677623534207e-06i
80000000000+0i,-6.139063442975613e-05-8.201909930047576e-08i,-0.001747029096126498-5.608787466870084e-06i
81000000000+0i,-6.215801736012809e-05-8.304433804173169e-08i,-0.001768866959828079-5.678897310205958e-06i
82000000000+0i,-6.292540029050003e-05-8.406957678298766e-08i,-0.00179070482352966-5.749007153541835e-06i
83000000000+0i,-6.369278322087197e-05-8.509481552424358e-08i,-0.001812542687231241-5.819116996877711e-06i
84000000000+0i,-6.446016615124394e-05-8.612005426549956e-08i,-0.001834380550932823-5.889226840213587e-06i
85000000000+0i,-6.52275490816159e-05-8.714529300675548e-08i,-0.001856218414634404-5.959336683549463e-06i
86000000000+0i,-6.599493201198784e-05-8.817053174801143e-08i,-0.001878056278335985-6.029446526885339e-06i
87000000000+0i,-6.676231494235978e-05-8.919577048926737e-08i,-0.001899894142037566-6.099556370221214e-06i
88000000000+0i,-6.752969787273175e-05-9.022100923052333e-08i,-0.001921732005739148-6.169666213557091e-06i
89000000000+0i,-6.82970808031037e-05-9.124624797177927e-08i,-0.001943569869440728-6.239776056892967e-06i
90000000000+0i,-6.906446373347564e-05-9.227148671303522e-08i,-0.00196540773314231-6.309885900228843e-06i
91000000000+0i,-6.983184666384761e-05-9.329672545429118e-08i,-0.001987245596843891-6.37999574356472e-06i
92000000000+0i,-7.059922959421955e-05-9.43219641955471e-08i,-0.002009083460545472-6.450105586900596e-06i
93000000000+0i,-7.136661252459149e-05-9.534720293680305e-08i,-0.002030921324247053-6.520215430236471e-06i
94000000000+0i,-7.213399545496345e-05-9.6372441678059e-08i,-0.002052759187948635-6.590325273572347e-06i
95000000000+0i,-7.290137838533542e-05-9.739768041931497e-08i,-0.002074597051650216-6.660435116908223e-06i
96000000000+0i,-7.366876131570735e-05-9.842291916057089e-08i,-0.002096434915351797-6.730544960244099e-06i
97000000000+0i,-7.44361442460793e-05-9.944815790182685e-08i,-0.002118272779053379-6.800654803579976e-06i
98000000000+0i,-7.520352717645126e-05-1.004733966430828e-07i,-0.002140110642754959-6.87076464691585e-06i
99000000000+0i,-7.597091010682322e-05-1.014986353843387e-07i,-0.002161948506456541-6.940874490251727e-06i
100000000000+0i,-7.673829303719516e-05-1.025238741255947e-07i,-0.002183786370158122-7.010984333587604e-06i
101000000000+0i,-7.750567596756712e-05-1.035491128668506e-07i,-0.002205624233859703-7.08109417692348e-06i
102000000000+0i,-7.827305889793907e-05-1.045743516081066e-07i,-0.002227462097561285-7.151204020259356e-06i
103000000000+0i,-7.904044182831103e-05-1.055995903493625e-07i,-0.002249299961262866-7.221313863595233e-06i
104000000000+0i,-7.980782475868296e-05-1.066248290906185e-07i,-0.002271137824964447-7.291423706931107e-06i
105000000000+0i,-8.057520768905494e-05-1.076500678318744e-07i,-0.002292975688666028-7.361533550266984e-06i
106000000000+0i,-8.134259061942688e-05-1.086753065731304e-07i,-0.00231481355236761-7.43164339360286e-06i
107000000000+0i,-8.210997354979884e-05-1.097005453143863e-07i,-0.002336651416069191-7.501753236938736e-06i
108000000000+0i,-8.287735648017077e-05-1.107257840556422e-07i,-0.002358489279770772-7.571863080274611e-06i
109000000000+0i,-8.364473941054274e-05-1.117510227968982e-07i,-0.002380327143472353-7.641972923610488e-06i
110000000000+0i,-8.441212234091468e-05-1.127762615381542e-07i,-0.002402165007173934-7.712082766946364e-06i
111000000000+0i,-8.517950527128662e-05-1.138015002794101e-07i,-0.002424002870875516-7.782192610282239e-06i
112000000000+0i,-8.594688820165856e-05-1.14826739020666e-07i,-0.002445840734577096-7.852302453618115e-06i
113000000000+0i,-8.671427113203055e-05-1.15851977761922e-07i,-0.002467678598278678-7.922412296953993e-06i
114000000000+0i,-8.748165406240248e-05-1.168772165031779e-07i,-0.002489516461980259-7.992522140289866e-06i
115000000000+0i,-8.824903699277443e-05-1.179024552444339e-07i,-0.00251135432568184-8.062631983625742e-06i
116000000000+0i,-8.90164199231464e-05-1.189276939856898e-07i,-0.002533192189383422-8.13274182696162e-06i
117000000000+0i,-8.978380285351834e-05-1.199529327269458e-07i,-0.002555030053085003-8.202851670297495e-06i
118000000000+0i,-9.055118578389027e-05-1.209781714682017e-07i,-0.002576867916786584-8.27296151363337e-06i
119000000000+0i,-9.131856871426226e-05-1.220034102094577e-07i,-0.002598705780488165-8.343071356969248e-06i
120000000000+0i,-9.20859516446342e-05-1.230286489507136e-07i,-0.002620543644189747-8.413181200305124e-06i
121000000000+0i,-9.285333457500617e-05-1.240538876919696e-07i,-0.002642381507891328-8.483291043641002e-06i
122000000000+0i,-9.362071750537808e-05-1.250791264332255e-07i,-0.002664219371592909-8.553400886976875e-06i
123000000000+0i,-9.438810043575007e-05-1.261043651744815e-07i,-0.00268605723529449-8.623510730312753e-06i
124000000000+0i,-9.5155483366122e-05-1.271296039157374e-07i,-0.002707895098996071-8.693620573648629e-06i
125000000000+0i,-9.592286629649395e-05-1.281548426569934e-07i,-0.002729732962697652-8.763730416984504e-06i
126000000000+0i,-9.669024922686589e-05-1.291800813982493e-07i,-0.002751570826399233-8.833840260320378e-06i
127000000000+0i,-9.745763215723786e-05-1.302053201395053e-07i,-0.002773408690100815-8.903950103656256e-06i
